
Ingesting: /home/varjitt/Downloads/2016-2021 Lexus GX460 Repair Manual 
(RM27D0U).pdf
Vehicle: Lexus GX460 (2016-2021)

Initializing databases...
PostgreSQL ready.
Databases ready.


Extracted 496 pages with text.

Created 111 chunks.

111 new chunks to process.

Creating vehicle nodes...
Created 6 vehicle nodes.

  [1/111] chunk 1: 0 nodes, 0 rels
  111/111 done (chunk 108: 0 nodes, 0 rels) ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100%
No unresolved cross-references found.

Building graph from extractions...

Graph built: 0 nodes, 0 relationships
Unique nodes: 0

Storing chunks in PostgreSQL...
Stored 111 chunks.

Generating embeddings for 111 chunks...
Generated 111 embeddings.

Writing embeddings to PostgreSQL...
Embedded 111 chunks.

Ingestion complete!
