
Ingesting: /home/varjitt/Downloads/2016-2021 Lexus GX460 Repair Manual 
(RM27D0U).pdf
Vehicle: Lexus GX460 (2016-2021)

Initializing databases...
PostgreSQL ready.
Databases ready.


Extracted 494 pages with text.

Created 135 chunks.

Skipping 26 already-ingested chunks.
109 new chunks to process.

Creating vehicle nodes...
Created 6 vehicle nodes.

  [1/109] chunk 8: 0 nodes, 0 rels
  [76/109] chunk 76: 0 nodes, 0 rels
  [77/109] chunk 79: 0 nodes, 0 rels
  [78/109] chunk 78: 0 nodes, 0 rels
  [79/109] chunk 80: 0 nodes, 0 rels
  [80/109] chunk 81: 0 nodes, 0 rels
  [81/109] chunk 83: 0 nodes, 0 rels
  [82/109] chunk 82: 0 nodes, 0 rels
  [83/109] chunk 84: 0 nodes, 0 rels
  [84/109] chunk 85: 0 nodes, 0 rels
  [85/109] chunk 77: 0 nodes, 0 rels
  [86/109] chunk 87: 0 nodes, 0 rels
  [87/109] chunk 86: 0 nodes, 0 rels
  [88/109] chunk 88: 0 nodes, 0 rels
  [89/109] chunk 89: 0 nodes, 0 rels
  [90/109] chunk 91: 0 nodes, 0 rels
  [91/109] chunk 90: 0 nodes, 0 rels
  [92/109] chunk 92: 0 nodes, 0 rels
  [93/109] chunk 93: 0 nodes, 0 rels
  [94/109] chunk 95: 0 nodes, 0 rels
  [95/109] chunk 94: 0 nodes, 0 rels
  [96/109] chunk 97: 0 nodes, 0 rels
  [97/109] chunk 96: 0 nodes, 0 rels
  [98/109] chunk 100: 0 nodes, 0 rels
  [99/109] chunk 101: 0 nodes, 0 rels
  [100/109] chunk 103: 0 nodes, 0 rels
  [101/109] chunk 105: 0 nodes, 0 rels
  [102/109] chunk 104: 0 nodes, 0 rels
  [103/109] chunk 102: 0 nodes, 0 rels
  [104/109] chunk 98: 0 nodes, 0 rels
  [105/109] chunk 107: 0 nodes, 0 rels
  [106/109] chunk 99: 0 nodes, 0 rels
  [107/109] chunk 108: 0 nodes, 0 rels
  [108/109] chunk 109: 0 nodes, 0 rels
  [109/109] chunk 106: 0 nodes, 0 rels
  109/109 done (chunk 106: 0 nodes, 0 rels) ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100%
No unresolved cross-references found.

Building graph from extractions...

Graph built: 0 nodes, 0 relationships
Unique nodes: 0

Storing chunks in PostgreSQL...
Stored 109 chunks.

Generating embeddings for 109 chunks...
Generated 109 embeddings.

Writing embeddings to PostgreSQL...
Embedded 109 chunks.

Ingestion complete!
